"ntrait"	"npl"	"z1"	"se"
"1"	2	0	20.265556	0.587822394092999
"2"	2	10	20.677004	0.578268686310283
"3"	2	20	19.703326	0.663584887366572
"4"	2	30	20.73996	0.640624005042532
"5"	2	40	19.72737	0.690696586939738
"6"	2	50	19.961916	0.507836847835272
"11"	5	0	19.892196	0.57070754288139
"21"	5	10	20.680162	0.634428544451957
"31"	5	20	20.592956	0.457202777485091
"41"	5	30	21.760528	0.606574661515104
"51"	5	40	18.6907092	0.596119724412145
"61"	5	50	11.00925332	0.824018943298917
"12"	10	0	20.3469096	0.635603375812625
"22"	10	10	20.54887	0.524859154131382
"32"	10	20	20.4128324	0.55789099959595
"42"	10	30	20.048506	0.565930158641939
"52"	10	40	18.7923616	0.650717157377472
"62"	10	50	1.5054236e-05	3.9379061571317e-05
