"ntrait"	"npl"	"z1"	"se_z1"	"N"	"se_N"
"1"	2	0	19.968244	0.0770821530025608	1003.94	2.99188153208659
"2"	2	10	20.025928	0.0790901393807427	983.78	3.85113712335164
"3"	2	20	19.765782	0.102661385252485	982.5	5.76776758002113
"4"	2	30	19.564976	0.111726840345331	987.28	3.84485237634924
"5"	2	40	19.1151022	0.296205185827261	956.08	12.8968542280508
"6"	2	50	16.6928428	0.568280398570631	879.22	25.1400370171663
"11"	5	0	19.976956	0.0699721894119516	1002.04	3.23765599261728
"21"	5	10	19.82421	0.0974712684929906	983.78	6.107692707077
"31"	5	20	19.613094	0.173963305922337	996.96	5.19229884992561
"41"	5	30	17.2569168	0.472470123252335	921.1	21.2082627332666
"51"	5	40	10.12151968	0.906062007374107	593.48	43.4213362394149
"61"	5	50	0.6514162	0.213370167019358	143.3	3.83520214724127
"12"	10	0	19.882734	0.0743288861150363	994.32	2.92636711466554
"22"	10	10	19.87635	0.0797793182882043	998.46	3.47342212011293
"32"	10	20	19.307774	0.173794145642693	988.14	3.96206604525199
"42"	10	30	17.6757284	0.507326608261856	925.34	21.1990105660522
"52"	10	40	11.8177096	0.876758095551317	682.92	43.4653119024299
"62"	10	50	0	0	135.86	0.995094088464985
