"ntrait"	"npl"	"rank"	"eigen_var"	"pv"
"1"	2	0	2	0.0136542303574031	0.6
"2"	2	10	2	0.0128809350101794	0.63
"3"	2	20	2	0.0220265037954724	0.495
"4"	2	30	2	0.00713115190823546	0.725
"5"	2	40	2	0.0461044162711878	0.29
"6"	2	50	2	0.102729066343966	0.105
"7"	5	0	5	0.0875354822764873	0.545
"8"	5	10	5	0.0967319531804041	0.46
"9"	5	20	5	0.0962413206677838	0.475
"10"	5	30	5	0.0616681780140386	0.745
"11"	5	40	5	0.058619083268958	0.77
"12"	5	50	5	0.336958446213445	0
"13"	10	0	10	0.172779318288486	0.74
"14"	10	10	10	0.122103659081613	0.99
"15"	10	20	10	0.209314502749789	0.44
"16"	10	30	10	0.263246662516068	0.1
"17"	10	40	10	0.203864551818808	0.49
"18"	10	50	4	2.41783640646352	0
