"ntrait"	"npl"	"vr"	"vg"	"sd_vr"	"se_vg"
"1"	2	0	0.0815234724662378	0.1070637534359	0.0164702286305004	0.0227598591189307
"2"	2	10	0.112098631868655	0.0840336483296	0.0226473436445887	0.0201968099949508
"3"	2	20	0.120455181199191	0.0927017978195	0.024335621558572	0.0215789446789316
"4"	2	30	0.12141725885925	0.076699089426	0.0245299905978451	0.0170499359365198
"5"	2	40	0.124059050621444	0.1315370321101	0.0250637131319967	0.0333236037262685
"6"	2	50	0.0963506769373945	0.1520998200398	0.0194657762955274	0.0354528376391102
"11"	5	0	0.110254657473943	0.100565051311976	0.0222748045592073	0.0219707276101946
"21"	5	10	0.106900623550524	0.09939947912704	0.0215971873787559	0.0227861282225608
"31"	5	20	0.120273955642379	0.106474729478092	0.0242990084671018	0.0255208743681119
"41"	5	30	0.126324921693341	0.10165724639198	0.0255214882177775	0.0286656094104826
"51"	5	40	0.10034078747156	0.12842140581414	0.0202719003573537	0.0326089999853778
"61"	5	50	0.0339808410832388	0.02348547901144	0.0068651666172516	0.0101777542930564
"12"	10	0	0.105994939236435	0.102692929610658	0.0214142115158684	0.0252819408926518
"22"	10	10	0.103241137751424	0.096112307435358	0.0208578596004132	0.0248921696070406
"32"	10	20	0.118024238077675	0.107913143177222	0.0238444968825998	0.0277793934698819
"42"	10	30	0.108517298415178	0.097724717630452	0.0219238050244048	0.0262935830431131
"52"	10	40	0.107831983646827	0.11456779575752	0.021785350532991	0.0290932535538827
"62"	10	50	6.411928778621e-08	6.5017433576e-05	1.29540523424231e-08	4.82222853053612e-05
